nohup: ignoring input
===> Using GPU to train
===> Loading datasets
===> Try to resume from checkpoint
===> Start from scratch
Begin training
epoch: 0, lossA:0.0063544511795043945, lossB:0.00589144229888916
epoch: 101, lossA:0.0027778148651123047, lossB:0.002571702003479004
epoch: 102, lossA:0.0033121109008789062, lossB:0.0024314522743225098
epoch: 103, lossA:0.003473520278930664, lossB:0.0029115676879882812
epoch: 104, lossA:0.003461897373199463, lossB:0.002381622791290283
epoch: 105, lossA:0.0024830102920532227, lossB:0.0021986961364746094
epoch: 106, lossA:0.0032845139503479004, lossB:0.002577066421508789
epoch: 107, lossA:0.0036185383796691895, lossB:0.002700209617614746
epoch: 108, lossA:0.0030811429023742676, lossB:0.0023865699768066406
epoch: 109, lossA:0.0032528042793273926, lossB:0.00292205810546875
epoch: 110, lossA:0.0030531883239746094, lossB:0.002391338348388672
epoch: 111, lossA:0.003042459487915039, lossB:0.002673923969268799
epoch: 112, lossA:0.0029094815254211426, lossB:0.0022936463356018066
epoch: 113, lossA:0.0034314393997192383, lossB:0.0027322769165039062
epoch: 114, lossA:0.003114938735961914, lossB:0.0024164915084838867
epoch: 115, lossA:0.0026996731758117676, lossB:0.0023016929626464844
epoch: 116, lossA:0.0033324360847473145, lossB:0.0024831295013427734
epoch: 117, lossA:0.003111898899078369, lossB:0.002665400505065918
epoch: 118, lossA:0.0029412508010864258, lossB:0.002716064453125
epoch: 119, lossA:0.0030744075775146484, lossB:0.002298891544342041
epoch: 120, lossA:0.002921462059020996, lossB:0.0020599961280822754
epoch: 121, lossA:0.0031943321228027344, lossB:0.0024199485778808594
epoch: 122, lossA:0.003131866455078125, lossB:0.0025740861892700195
epoch: 123, lossA:0.003002941608428955, lossB:0.002326071262359619
epoch: 124, lossA:0.0032067298889160156, lossB:0.00225144624710083
epoch: 125, lossA:0.002846837043762207, lossB:0.0026262402534484863
epoch: 126, lossA:0.0024762749671936035, lossB:0.002324223518371582
epoch: 127, lossA:0.0034095048904418945, lossB:0.00233304500579834
epoch: 128, lossA:0.0030727386474609375, lossB:0.0023193955421447754
epoch: 129, lossA:0.0030318498611450195, lossB:0.002514183521270752
epoch: 130, lossA:0.0029027462005615234, lossB:0.0021294355392456055
epoch: 131, lossA:0.002797365188598633, lossB:0.0019990205764770508
epoch: 132, lossA:0.0027559399604797363, lossB:0.002574324607849121
epoch: 133, lossA:0.002781391143798828, lossB:0.0023513436317443848
epoch: 134, lossA:0.0029987096786499023, lossB:0.002371370792388916
epoch: 135, lossA:0.0026868581771850586, lossB:0.0023971199989318848
epoch: 136, lossA:0.0029474496841430664, lossB:0.0023000240325927734
epoch: 137, lossA:0.0026844143867492676, lossB:0.0024054646492004395
epoch: 138, lossA:0.002874612808227539, lossB:0.002217113971710205
epoch: 139, lossA:0.003058195114135742, lossB:0.002297043800354004
epoch: 140, lossA:0.0030628442764282227, lossB:0.002142667770385742
epoch: 141, lossA:0.002823173999786377, lossB:0.0023894906044006348
epoch: 142, lossA:0.002698063850402832, lossB:0.002323746681213379
epoch: 143, lossA:0.0030295848846435547, lossB:0.0025652647018432617
epoch: 144, lossA:0.0035248398780822754, lossB:0.0025069713592529297
epoch: 145, lossA:0.003235936164855957, lossB:0.002414703369140625
epoch: 146, lossA:0.002827882766723633, lossB:0.002561211585998535
epoch: 147, lossA:0.002679884433746338, lossB:0.002389252185821533
epoch: 148, lossA:0.002730250358581543, lossB:0.002369225025177002
epoch: 149, lossA:0.002890169620513916, lossB:0.0020790696144104004
epoch: 150, lossA:0.0028285980224609375, lossB:0.0024328231811523438
epoch: 151, lossA:0.003189384937286377, lossB:0.0020058155059814453
epoch: 152, lossA:0.0024924278259277344, lossB:0.0019116401672363281
epoch: 153, lossA:0.002694368362426758, lossB:0.0020378828048706055
epoch: 154, lossA:0.0028324127197265625, lossB:0.0019750595092773438
epoch: 155, lossA:0.0027166008949279785, lossB:0.002362549304962158
epoch: 156, lossA:0.004374027252197266, lossB:0.003888428211212158
epoch: 157, lossA:0.003729403018951416, lossB:0.0037114620208740234
epoch: 158, lossA:0.0037592649459838867, lossB:0.0034637451171875
epoch: 159, lossA:0.003013908863067627, lossB:0.002641022205352783
epoch: 160, lossA:0.0026781558990478516, lossB:0.002575218677520752
epoch: 161, lossA:0.00307309627532959, lossB:0.0020795464515686035
epoch: 162, lossA:0.002774357795715332, lossB:0.0023752450942993164
epoch: 163, lossA:0.0023512840270996094, lossB:0.0020356178283691406
epoch: 164, lossA:0.002677440643310547, lossB:0.0018971562385559082
epoch: 165, lossA:0.00224381685256958, lossB:0.0017180442810058594
epoch: 166, lossA:0.0023780465126037598, lossB:0.001974642276763916
epoch: 167, lossA:0.003187239170074463, lossB:0.0028172731399536133
epoch: 168, lossA:0.002749502658843994, lossB:0.0026750564575195312
epoch: 169, lossA:0.0024834871292114258, lossB:0.0018439292907714844
epoch: 170, lossA:0.002473115921020508, lossB:0.002133607864379883
epoch: 171, lossA:0.0027843713760375977, lossB:0.0019817352294921875
epoch: 172, lossA:0.002803325653076172, lossB:0.0021964311599731445
epoch: 173, lossA:0.0023480653762817383, lossB:0.0018492937088012695
epoch: 174, lossA:0.0021724700927734375, lossB:0.0017331838607788086
epoch: 175, lossA:0.002536296844482422, lossB:0.002009749412536621
epoch: 176, lossA:0.004796087741851807, lossB:0.0037533044815063477
epoch: 177, lossA:0.0070421695709228516, lossB:0.005489945411682129
epoch: 178, lossA:0.0046225786209106445, lossB:0.0035371780395507812
epoch: 179, lossA:0.004210233688354492, lossB:0.0030957460403442383
epoch: 180, lossA:0.003486454486846924, lossB:0.00325852632522583
epoch: 181, lossA:0.0029458999633789062, lossB:0.002719402313232422
epoch: 182, lossA:0.0038034915924072266, lossB:0.0027227401733398438
epoch: 183, lossA:0.0029852986335754395, lossB:0.002575397491455078
epoch: 184, lossA:0.0029149651527404785, lossB:0.0024400949478149414
epoch: 185, lossA:0.0026695728302001953, lossB:0.0023800134658813477
epoch: 186, lossA:0.002742588520050049, lossB:0.00225830078125
epoch: 187, lossA:0.003223240375518799, lossB:0.0023193359375
epoch: 188, lossA:0.0028342008590698242, lossB:0.0020891427993774414
epoch: 189, lossA:0.0033032894134521484, lossB:0.0022275447845458984
epoch: 190, lossA:0.00271451473236084, lossB:0.0018982887268066406
epoch: 191, lossA:0.002788841724395752, lossB:0.0023136138916015625
epoch: 192, lossA:0.0026547908782958984, lossB:0.002040684223175049
epoch: 193, lossA:0.0027126073837280273, lossB:0.0020368099212646484
epoch: 194, lossA:0.003001093864440918, lossB:0.0020880699157714844
epoch: 195, lossA:0.0024930238723754883, lossB:0.0022771358489990234
epoch: 196, lossA:0.0028488636016845703, lossB:0.0026882290840148926
epoch: 197, lossA:0.0027941465377807617, lossB:0.0026491880416870117
epoch: 198, lossA:0.002874016761779785, lossB:0.002493619918823242
epoch: 199, lossA:0.0030196309089660645, lossB:0.0023854970932006836
epoch: 200, lossA:0.0023201704025268555, lossB:0.002217411994934082
===> Saving models...
epoch: 201, lossA:0.0029760003089904785, lossB:0.0023769140243530273
epoch: 202, lossA:0.002697587013244629, lossB:0.0019954442977905273
epoch: 203, lossA:0.002633392810821533, lossB:0.0022097229957580566
epoch: 204, lossA:0.0026884078979492188, lossB:0.0022345781326293945
epoch: 205, lossA:0.0026842355728149414, lossB:0.002278625965118408
epoch: 206, lossA:0.0024605989456176758, lossB:0.0024553537368774414
epoch: 207, lossA:0.0024226903915405273, lossB:0.0021422505378723145
